auction_number,timestamp,deep_agent,cap_bestx1_balanced,cap_bestx1_aggressive,cap_tier,dynamic_cap_bestx1_balanced,dynamic_cap_bestx1_aggressive,dynamic_cap_tier,random_1
1,2025-08-05 19:02:38.847562,0.0,3.350923482849604,3.116094986807388,2.7598944591029024,2.7598944591029024,2.7440633245382586,2.7651715039577835,2.097625329815304
2,2025-08-05 19:02:43.166310,0.0,3.321899736147757,2.9815303430079156,3.1820580474934044,2.7704485488126647,2.8232189973614776,2.926121372031662,1.9313984168865435
3,2025-08-05 19:02:47.540330,0.0,3.163588390501319,2.6358839050131926,2.9656992084432723,2.8073878627968334,2.8179419525065965,2.9788918205804746,2.232189973614776
4,2025-08-05 19:02:52.097298,0.0,3.4195250659630605,2.6121372031662276,2.646437994722955,2.865435356200528,2.865435356200528,3.0395778364116093,2.0923482849604222
5,2025-08-05 19:02:56.569533,0.0,3.184696569920844,2.817941952506596,2.781002638522428,2.8073878627968334,2.7836411609498684,2.8126649076517145,2.007915567282322
6,2025-08-05 19:03:00.989872,0.0,3.0791556728232194,2.7150395778364116,2.509234828496042,2.8337730870712403,2.9340369393139842,2.9656992084432714,2.232189973614776
7,2025-08-05 19:03:05.424006,0.0,3.385224274406333,2.5329815303430077,2.9182058047493404,2.8759894459102906,2.7546174142480213,3.0,2.0343007915567286
8,2025-08-05 19:03:09.813510,0.0,3.2269129287598943,2.8337730870712403,3.274406332453826,2.7994722955145117,2.7889182058047495,2.820580474934037,2.052770448548813
9,2025-08-05 19:03:14.132353,0.0,3.266490765171504,2.9630606860158313,3.121372031662269,2.8311345646437998,2.79155672823219,2.9630606860158313,2.102902374670185
10,2025-08-05 19:03:18.470809,0.0,3.2321899736147754,3.1794195250659634,2.0844327176781,2.730870712401056,2.825857519788918,2.7361477572559365,2.3562005277044857
11,2025-08-05 19:03:22.851065,0.0,3.174142480211082,2.654353562005277,2.8601583113456464,2.8469656992084436,2.825857519788918,3.0712401055408973,2.0844327176781006
12,2025-08-05 19:03:27.212601,0.0,3.1767810026385224,2.9102902374670188,2.781002638522428,2.8654353562005275,3.015831134564644,2.796833773087071,1.8522427440633245
13,2025-08-05 19:03:31.709598,0.0,3.1688654353562007,2.575197889182058,2.8311345646437998,2.8443271767810026,3.0263852242744065,2.8258575197889186,1.9050131926121372
14,2025-08-05 19:03:36.259977,0.0,3.094986807387863,2.799472295514512,2.649076517150396,2.8311345646437993,2.8337730870712403,2.963060686015831,2.2691292875989446
15,2025-08-05 19:03:40.471890,0.0,3.2269129287598943,2.891820580474934,2.9419525065963064,2.778364116094987,2.7757255936675462,2.9815303430079156,1.9313984168865435
16,2025-08-05 19:03:44.731982,0.0,3.1846965699208445,2.804749340369393,2.9920844327176783,2.799472295514512,2.7757255936675462,3.060686015831134,2.0976253298153034
17,2025-08-05 19:03:48.823003,0.0,3.2242744063324538,3.0395778364116097,3.034300791556728,2.825857519788918,2.8021108179419523,2.9340369393139842,2.108179419525066
18,2025-08-05 19:03:53.154117,0.0,3.0897097625329817,2.8179419525065965,2.746701846965699,2.891820580474934,2.757255936675462,2.8021108179419523,2.1688654353562007
19,2025-08-05 19:03:57.791403,0.0,3.2110817941952505,2.7176781002638526,2.7440633245382586,2.8680738786279685,2.7308707124010554,2.936675461741425,2.0554089709762535
20,2025-08-05 19:04:02.015127,0.0,3.3825857519788918,3.0343007915567286,2.4459102902374674,2.8759894459102906,2.9894459102902373,2.807387862796834,2.3034300791556728
21,2025-08-05 19:04:06.450207,0.0,3.348284960422163,2.7625329815303425,2.627968337730871,2.662269129287599,2.807387862796834,2.9868073878627968,2.0474934036939314
